timestamp,open,high,low,close,volume
2025-01-03,1.0268,1.0310,1.0264,1.0308,0
2025-01-02,1.0268,1.0305,1.0265,1.0268,0
2025-01-01,1.0352,1.0376,1.0232,1.0352,0
2024-12-30,1.0406,1.0424,1.0349,1.0406,0
2024-12-29,1.0429,1.0459,1.0374,1.0429,0
2024-12-26,1.0423,1.0445,1.0407,1.0423,0
2024-12-25,1.0400,1.0425,1.0391,1.0400,0
2024-12-24,1.0403,1.0433,1.0401,1.0403,0
2024-12-23,1.0406,1.0411,1.0387,1.0406,0
2024-12-22,1.0433,1.0448,1.0386,1.0433,0
2024-12-19,1.0365,1.0433,1.0344,1.0365,0
2024-12-18,1.0350,1.0422,1.0353,1.0350,0
2024-12-17,1.0495,1.0515,1.0468,1.0495,0
2024-12-16,1.0517,1.0533,1.0480,1.0517,0
2024-12-15,1.0510,1.0524,1.0475,1.0510,0
2024-12-12,1.0474,1.0523,1.0454,1.0474,0
2024-12-11,1.0507,1.0530,1.0465,1.0507,0
2024-12-10,1.0533,1.0541,1.0482,1.0533,0
2024-12-09,1.0555,1.0567,1.0500,1.0555,0
2024-12-08,1.0565,1.0593,1.0533,1.0565,0
2024-12-05,1.0586,1.0626,1.0546,1.0586,0
2024-12-04,1.0514,1.0588,1.0509,1.0514,0
2024-12-03,1.0511,1.0540,1.0474,1.0511,0
2024-12-02,1.0501,1.0530,1.0482,1.0501,0
2024-12-01,1.0546,1.0546,1.0462,1.0545,0
2024-11-28,1.0563,1.0595,1.0543,1.0563,0
2024-11-27,1.0562,1.0565,1.0529,1.0562,0
2024-11-26,1.0491,1.0583,1.0475,1.0491,0
2024-11-25,1.0444,1.0544,1.0427,1.0444,0
2024-11-24,1.0480,1.0530,1.0450,1.0480,0
2024-11-21,1.0469,1.0499,1.0340,1.0469,0
2024-11-20,1.0546,1.0557,1.0469,1.0546,0
2024-11-19,1.0608,1.0612,1.0509,1.0608,0
2024-11-18,1.0595,1.0601,1.0529,1.0595,0
2024-11-17,1.0534,1.0586,1.0531,1.0534,0
2024-11-14,1.0530,1.0592,1.0524,1.0530,0
