timestamp,open,high,low,close,volume
2025-01-03,381.4800,411.8799,379.4500,410.4400,93102245
2025-01-02,390.1000,392.7299,373.0400,379.2800,109710749
2024-12-31,423.7900,427.9300,402.5400,403.8400,76825121
2024-12-30,419.4000,427.0000,415.7500,417.4100,64941012
2024-12-27,449.5200,450.0000,426.5000,431.6600,82666821
2024-12-26,465.1600,465.3299,451.0200,454.1300,76651210
2024-12-24,435.9000,462.7800,435.1400,462.2800,59551750
2024-12-23,431.0000,434.5100,415.4112,430.6000,72698055
2024-12-20,425.5050,447.0800,417.6400,421.0600,132216176
2024-12-19,451.8800,456.3600,420.0200,436.1700,118566146
2024-12-18,466.4950,488.5399,427.0100,440.1300,149340788
2024-12-17,475.9000,483.9900,457.5101,479.8600,131222978
2024-12-16,441.0900,463.1900,436.1500,463.0200,114083811
2024-12-13,420.0000,436.3000,415.7100,436.2300,89000158
2024-12-12,424.8400,429.3000,415.0000,418.1000,87752225
2024-12-11,409.7000,424.8800,402.3800,424.7700,104287559
2024-12-10,392.6800,409.7300,390.8500,400.9900,97563578
2024-12-09,397.6100,404.8000,378.0100,389.7900,96359173
2024-12-06,377.4200,389.4900,370.8000,389.2200,81455834
2024-12-05,359.8700,375.4300,359.5000,369.4900,81403569
2024-12-04,353.0000,358.1000,348.6000,357.9300,50810874
2024-12-03,351.8000,355.6900,348.2000,351.4200,58267196
2024-12-02,352.3800,360.0000,351.1501,357.0900,77986478
2024-11-29,336.0800,345.4500,334.6500,345.1600,37167621
2024-11-27,341.8000,342.5500,326.5900,332.8900,57896439
2024-11-26,341.0000,346.9600,335.6600,338.2300,62295857
2024-11-25,360.1400,361.9300,338.2000,338.5900,95890899
2024-11-22,341.0850,361.5300,337.7000,352.5600,89140722
2024-11-21,343.8100,347.9899,335.2800,339.6400,58011719
2024-11-20,345.0000,346.5999,334.3000,342.0300,66340650
2024-11-19,335.7600,347.3799,332.7500,346.0000,88852452
2024-11-18,340.7300,348.5499,330.0100,338.7400,126547455
2024-11-15,310.5700,324.6799,309.2200,320.7200,114440286
2024-11-14,327.6900,329.9800,310.3700,311.1800,120726109
2024-11-13,335.8500,344.5999,322.5000,330.2400,125405599
2024-11-12,342.7400,345.8400,323.3100,328.4900,155726016
2024-11-11,346.3000,358.6400,336.0000,350.0000,210521625
2024-11-08,299.1400,328.7100,297.6600,321.2200,204782763
2024-11-07,288.8900,299.7500,285.5200,296.9100,117309232
2024-11-06,284.6700,289.5900,275.6200,288.5300,165228710
2024-11-05,247.3400,255.2799,246.2101,251.4400,69282505
2024-11-04,244.5600,248.9000,238.8800,242.8400,68802354
2024-11-01,252.0430,254.0000,246.6300,248.9800,57544757
2024-10-31,257.9900,259.7500,249.2500,249.8500,66575292
2024-10-30,258.0350,263.3500,255.8201,257.5500,53993576
2024-10-29,264.5100,264.9800,255.5100,259.5200,80521751
2024-10-28,270.0000,273.5360,262.2400,262.5100,107653603
2024-10-25,256.0100,269.4900,255.3200,269.1900,161611931
2024-10-24,244.6800,262.1199,242.6500,260.4800,204491903
2024-10-23,217.1250,218.7200,212.1100,213.6500,80938892
2024-10-22,217.3100,218.2200,215.2600,217.9700,43268741
2024-10-21,218.9000,220.4800,215.7260,218.8500,47328988
2024-10-18,220.7100,222.2800,219.2300,220.7000,49611867
2024-10-17,221.5900,222.0800,217.9000,220.8900,50791784
2024-10-16,221.4000,222.8199,218.9300,221.3300,49632824
2024-10-15,220.0100,224.2600,217.1200,219.5700,62988787
2024-10-14,220.1300,221.9100,213.7400,219.1600,86291923
2024-10-11,220.1300,223.3400,214.3800,217.8000,142628874
2024-10-10,241.8100,242.7899,232.3400,238.7700,83087063
2024-10-09,243.8200,247.4300,239.5100,241.0500,66289529
2024-10-08,243.5600,246.2100,240.5600,244.5000,56303160
2024-10-07,249.0000,249.8300,240.7000,240.8300,68113270
2024-10-04,246.6900,250.9600,244.5800,250.0800,86726285
2024-10-03,244.4800,249.7900,237.8100,240.6600,80729240
2024-10-02,247.5500,251.1585,241.5000,249.0200,93983930
2024-10-01,262.6700,263.9800,248.5300,258.0200,87397613
2024-09-30,259.0400,264.8600,255.7700,261.6300,80873381
2024-09-27,257.3750,260.6999,254.1200,260.4600,70988067
2024-09-26,260.6000,261.7500,251.5300,254.2200,67142193
2024-09-25,252.5400,257.0500,252.2800,257.0200,65034318
2024-09-24,254.0800,257.1900,249.0501,254.2700,88490999
2024-09-23,242.6100,250.0000,241.9200,250.0000,86927194
2024-09-20,241.5200,243.9900,235.9200,238.2500,99879070
2024-09-19,234.0000,244.2400,232.1300,243.9200,102694576
2024-09-18,230.0900,235.6800,226.8800,227.2000,78010204
2024-09-17,229.4500,234.5700,226.5533,227.8700,66761636
2024-09-16,229.3000,229.9600,223.5300,226.7800,54322995
2024-09-13,228.0000,232.6700,226.3200,230.2900,59515114
2024-09-12,224.6600,231.4500,223.8300,229.8100,72020042
2024-09-11,224.5500,228.4700,216.8003,228.1300,83548633
2024-09-10,220.0700,226.4000,218.6377,226.1700,78891136
2024-09-09,216.2000,219.8700,213.6700,216.2700,67443518
2024-09-06,232.6000,233.6000,210.5100,210.7300,112177004
2024-09-05,223.4900,235.0000,222.2500,230.1700,119355013
2024-09-04,210.5900,222.2200,210.5700,219.4100,80217329
2024-09-03,215.2600,219.9043,209.6400,210.6000,76714222
2024-08-30,208.6300,214.5701,207.0300,214.1100,63370608
2024-08-29,209.8000,214.8900,205.9700,206.2800,62308818
2024-08-28,209.7200,211.8400,202.5900,205.7500,64116350
2024-08-27,213.2500,215.6600,206.9400,209.2100,62821390
2024-08-26,218.7500,219.0900,211.0100,213.2100,59301187
2024-08-23,214.4550,221.4800,214.2100,220.3200,81525207
2024-08-22,223.8200,224.8000,210.3200,210.6600,79514482
2024-08-21,222.6700,224.6594,218.8600,223.2700,70145964
2024-08-20,224.8800,228.2200,219.5600,221.1000,74001182
2024-08-19,217.0700,222.9800,214.0900,222.7200,76435222
2024-08-16,211.1500,219.8000,210.8000,216.1200,88765122
2024-08-15,205.0200,215.8800,204.8200,214.1400,89848530
2024-08-14,207.3900,208.4400,198.7500,201.3800,70250014
2024-08-13,198.4700,208.4900,197.0600,207.8300,76247387
